year,sentiment,city
2008,0.0625,"Basingstoke, Hampshire"
2012,-0.25,"PortHarcourt, Nigeria"
2008,0.3125,Utah
2011,0.3125,
2011,0.5,banana republic
2013,0.5,Bangalore 
2008,0.5,Hyderabad
2012,0.5,Karnataka
2011,0.5,I love my INDIA
2012,0.5,
2014,0.5,
2013,0.5,Religion Certificate
2008,0.5,Hyderabad
2012,0.5,"Darmstadt, Germany"
2012,0.5,
2009,0.5,
2009,-0.291666666667,
2011,0,Palm Desert High School
2012,0.25,
2011,-0.1875,New Orleans
2010,0.125,"Wellington, NZ"
2011,0.375,
2009,0,Wellington
2009,0.0416666666667,"SF, East Bay, So. Cal,World"
2011,0.25,
2009,0.25,
2013,0.0,"Elk River, MN"
2013,0.25,
2009,-0.625,Anoka and NE Hennepin counties
2012,0,
2010,0.0416666666667,London
2012,0.35,michigan
2012,0.25,
2012,0,
2014,0.0625,
2012,0.25,
2012,0.25,"Canby, Oregon"
2013,0.4375,
